Time,Price,Price Change,RSI,State,Cash Allocation,Coin Allocation,Cash Balance,Coin Balance,Value
1668366904.3269837,2.711,0.0,47.14232202,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668366964.1768842,2.714,0.0030000000000001,51.86982026,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668367024.5171669,2.711,-0.0030000000000001,47.31274574,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668367085.0043132,2.706,-0.0049999999999998,40.86822537,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668367145.1346412,2.706,0.0,40.86822537,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668367204.9709847,2.71,0.004,47.07860824,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668367265.685766,2.707,-0.0030000000000001,43.39726924,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668367325.893845,2.716,0.0090000000000003,55.25405943,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668367387.4297662,2.719,0.0029999999999996,58.69032659,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668367447.0401278,2.726,0.0070000000000001,64.96770924,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668367507.139814,2.726,0.0,64.96770924,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668367809.035747,2.726,0.0,61.94507381,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668367869.2140667,2.725,-0.0009999999999998,60.48023123,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668367929.14211,2.728,0.0030000000000001,63.28521954,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668367989.7567852,2.728,0.0,63.28521954,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668368049.825771,2.727,-0.0010000000000003,61.71284622,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668368109.8209934,2.727,0.0,61.71284622,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668368170.8487878,2.727,0.0,61.71284622,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668368231.5552433,2.73,0.0030000000000001,64.75926081,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668368290.900625,2.73,0.0,64.75926081,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668368351.6969075,2.731,0.0009999999999998,65.81091161,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668368411.717406,2.728,-0.0029999999999996,60.02387154,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668368471.7984445,2.727,-0.0010000000000003,58.31458636,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668368532.4636014,2.728,0.0010000000000003,59.5549266,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668368592.450359,2.727,-0.0010000000000003,57.70582383,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668368652.7572184,2.727,0.0,57.70582383,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668368713.671512,2.727,0.0,57.70582383,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668368773.6817997,2.722,-0.0049999999999998,48.90134712,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668368833.4059722,2.725,0.0030000000000001,53.80581434,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668368894.6568897,2.726,0.0009999999999998,55.34440021,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668368954.3383849,2.725,-0.0009999999999998,53.80581434,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668369014.45442,2.721,-0.004,47.2885966,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668369075.2605376,2.721,0.0,47.2885966,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668369135.211217,2.716,-0.0049999999999998,40.31125794,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668369195.2162056,2.718,0.0019999999999997,42.87859484,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668369256.8106823,2.719,0.0009999999999998,44.28892789,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668369316.620193,2.721,0.0020000000000002,47.97455681,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668369376.7345965,2.725,0.004,54.46311349,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668369437.682734,2.725,0.0,54.46311349,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668369497.2769911,2.725,0.0,54.46311349,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668369557.3111942,2.725,0.0,54.46311349,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668369618.2418926,2.725,0.0,54.46311349,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668369678.20095,2.728,0.0030000000000001,58.63045425,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668369738.28239,2.724,-0.004,51.82082562,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668369799.0986629,2.728,0.004,56.90616041,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668369858.9482715,2.726,-0.0020000000000002,54.50594613,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668369919.1296031,2.723,-0.0030000000000001,50.00670749,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668369980.0803063,2.723,0.0,50.00670749,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668370040.079576,2.723,0.0,50.00670749,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668370100.079019,2.724,0.0010000000000003,51.44546748,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668370160.9650056,2.728,0.004,56.45787345,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668370221.5950286,2.721,-0.0070000000000001,47.09416557,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668370280.825662,2.725,0.004,52.08758933,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668370341.6742983,2.725,0.0,52.08758933,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668370401.8533397,2.724,-0.0009999999999998,50.72374617,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668370461.57594,2.725,0.0009999999999998,52.07512117,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668370522.6866395,2.725,0.0,52.07512117,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668370582.9635603,2.725,0.0,52.07512117,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668370642.8178174,2.723,-0.0020000000000002,48.7364321,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668370704.2910268,2.723,0.0,48.7364321,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668370763.4844704,2.723,0.0,48.7364321,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668370823.5550172,2.723,0.0,48.7364321,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668370884.5395584,2.723,0.0,48.7364321,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668370944.5257597,2.723,0.0,48.7364321,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668371004.2813454,2.727,0.004,54.95646688,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668371065.7866151,2.727,0.0,54.95646688,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668371125.7959907,2.726,-0.0009999999999998,53.21799688,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668371186.0963364,2.726,0.0,53.21799688,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668371246.6328628,2.724,-0.0019999999999997,49.8233398,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668371306.4268937,2.724,0.0,49.8233398,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668371366.4211855,2.725,0.0009999999999998,51.64200955,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668371427.38685,2.725,0.0,51.64200955,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668371487.2362916,2.724,-0.0009999999999998,49.82992461,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668371547.2291994,2.728,0.004,56.41758739,-2.0,1.0,0.0,1000.0,0.0,1000.0
1668371608.1316185,2.729,0.0009999999999998,57.80278089,-2.0,1.0,0.0,1000.0,0.0,1000.0
