time,BTCUSDT,ETHUSDT,BTCDOWNUSDT,BTCUPUSDT
1669684967.5186412,16178.48,1166.14,0.047303,2.614
1669685027.727678,16180.91,1166.24,0.0473,2.614
1669685087.6823158,16174.93,1165.79,0.047197,2.614
1669685147.610735,16183.48,1166.5,0.047197,2.61
1669685207.3620806,16181.84,1166.76,0.047143,2.61
1669685267.3164752,16185.57,1166.95,0.047143,2.611
1669685327.6099129,16189.67,1167.54,0.047143,2.611
1669685387.5262327,16185.43,1167.14,0.047192,2.615
1669685447.391195,16186.78,1166.98,0.047222,2.615
1669685507.4042578,16191.55,1167.22,0.047222,2.616
1669685567.4353302,16189.4,1167.1,0.047222,2.615
1669685627.553956,16187.2,1166.82,0.047222,2.615
1669685687.5633786,16191.61,1167.29,0.047143,2.615
1669685748.0510924,16190.27,1167.21,0.047143,2.616
1669685807.405482,16200.35,1168.42,0.047211,2.612
1669685867.288879,16206.91,1169.46,0.047143,2.615
1669685927.393972,16227.49,1172.16,0.0471,2.624
1669685987.3891068,16227.15,1173.37,0.047015,2.624
1669686047.488409,16215.73,1172.09,0.047015,2.624
1669686107.5478373,16218.64,1173.31,0.047026,2.624
1669686167.4845755,16250.87,1175.56,0.046924,2.624
1669686227.954924,16254.22,1175.14,0.046911,2.635
1669686287.3135247,16240.83,1174.66,0.046855,2.633
1669686347.6102808,16248.83,1175.71,0.046857,2.624
1669686407.497569,16257.97,1177.98,0.046807,2.628
1669686467.5176585,16280.65,1178.62,0.046588,2.642
1669686527.6736784,16271.94,1178.31,0.046617,2.641
1669686587.4378777,16265.2,1177.69,0.046684,2.641
1669686647.4259984,16261.44,1177.66,0.046759,2.641
1669686707.4696808,16259.59,1177.37,0.046786,2.63
1669686767.578018,16259.48,1177.66,0.046786,2.627
1669686827.273731,16251.75,1177.05,0.046786,2.627
1669686887.423667,16260.5,1178.7,0.04672,2.631
1669686947.4018424,16253.77,1178.14,0.046717,2.631
1669687007.5014403,16254.28,1178.48,0.046738,2.631
1669687067.5821898,16247.99,1177.25,0.046738,2.631
1669687127.347047,16253.65,1177.34,0.046738,2.631
1669687187.6020083,16251.52,1177.32,0.046738,2.631
1669687247.5985498,16253.66,1177.49,0.046738,2.631
1669687307.2482028,16262.47,1179.08,0.046738,2.631
1669687367.3905392,16266.96,1179.13,0.046738,2.631
1669687427.3587976,16263.11,1179.37,0.046738,2.631
1669687487.3369806,16257.24,1178.13,0.046738,2.631
1669687547.559829,16256.02,1178.25,0.046738,2.631
1669687607.7324886,16268.71,1179.7,0.046726,2.631
1669687667.5509825,16266.26,1179.7,0.046725,2.631
1669687727.3567462,16274.2,1180.36,0.046703,2.631
1669687787.5482876,16271.69,1179.42,0.04666,2.631
1669687847.4857817,16261.72,1178.92,0.0467,2.632
1669687907.5678637,16253.52,1178.6,0.046728,2.631
1669687967.548046,16251.2,1178.68,0.046728,2.634
1669688027.465809,16251.02,1179.52,0.04679,2.634
1669688087.422337,16254.51,1180.19,0.046789,2.634
1669688147.391489,16255.79,1181.0,0.046688,2.634
1669688207.5718532,16252.89,1179.81,0.046732,2.637
1669688267.8234496,16263.77,1181.62,0.046699,2.637
1669688327.5725503,16257.85,1181.14,0.046703,2.637
1669688387.595549,16269.11,1182.27,0.046675,2.64
1669688447.5209007,16294.35,1187.25,0.046535,2.642
1669741784.7312136,16417.15,1210.19,0.04604,2.678
1669741844.392055,16413.02,1209.97,0.04604,2.677
1669741904.3828714,16420.11,1211.25,0.04604,2.678
1669741964.3932004,16408.78,1210.17,0.04604,2.678
1669742024.379122,16407.1,1209.36,0.04604,2.678
1669742084.4592707,16409.51,1210.12,0.04604,2.678
1669743684.696041,16381.8,1208.6,0.046131,2.68
1669743745.0600889,16375.74,1208.04,0.046131,2.672
1669743804.5909004,16377.98,1208.19,0.046131,2.674
1669743865.6079755,16384.27,1208.38,0.046131,2.674
1669743924.6234307,16377.56,1208.14,0.046131,2.669
1669743984.7192814,16381.33,1207.97,0.046131,2.669
1669744044.7090287,16379.66,1208.16,0.046153,2.669
1669744104.6781764,16380.16,1208.23,0.046152,2.674
1669744164.806085,16388.37,1208.63,0.046152,2.674
1669744224.7656765,16386.98,1209.14,0.046152,2.674
1669744285.1160345,16387.49,1209.15,0.046154,2.674
1669744344.5784187,16381.15,1208.94,0.046154,2.677
1669744405.5189266,16381.67,1208.97,0.046154,2.678
1669744464.69168,16379.04,1208.92,0.046154,2.674
1669744524.9794884,16379.85,1208.8,0.046154,2.674
1669744584.7527156,16380.54,1209.05,0.046154,2.674
1669744644.6208062,16387.16,1209.47,0.046196,2.674
1669744704.823259,16382.25,1209.5,0.046196,2.674
1669744764.806393,16379.81,1209.27,0.046196,2.674
1669744824.8938825,16379.72,1209.04,0.046196,2.674
1669744884.7708566,16371.99,1208.04,0.046197,2.674
1669744945.811678,16377.01,1208.06,0.046196,2.668
1669745004.725978,16376.69,1208.25,0.046197,2.67
1669745065.1937428,16372.16,1208.18,0.046154,2.671
1669745124.7414005,16370.05,1208.12,0.046197,2.671
1669745184.7387547,16373.83,1208.67,0.046197,2.671
1669745244.7595956,16378.33,1208.43,0.046197,2.671
1669745304.7211776,16389.79,1210.26,0.046197,2.671
1669745364.7462304,16387.62,1209.7,0.046087,2.671
1669745424.7410707,16387.72,1210.41,0.046087,2.676
1669745485.5259693,16382.9,1209.18,0.046152,2.674
1669745544.6692295,16382.14,1208.92,0.046152,2.667
1669745605.3005466,16380.83,1208.73,0.046221,2.667
1669745664.750394,16378.95,1208.39,0.046149,2.669
1669745724.7361665,16384.69,1209.29,0.046175,2.67
1669745784.7530873,16376.97,1207.8,0.046175,2.669
1669745845.0519564,16376.88,1207.78,0.046174,2.673
1669745904.6675816,16376.47,1207.77,0.046174,2.667
1669745968.1024835,16378.55,1208.27,0.046174,2.667
1669746025.135214,16377.53,1208.37,0.046174,2.667
1669746084.7948775,16372.99,1208.23,0.046174,2.669
1669746145.5732017,16374.13,1207.98,0.046125,2.669
1669746204.805689,16379.96,1208.8,0.046125,2.669
1669746264.6700833,16380.56,1209.12,0.046125,2.669
1669746324.8774168,16380.37,1209.1,0.046125,2.669
1669746384.8007,16371.3,1208.19,0.046125,2.669
1669746448.4333842,16375.74,1208.69,0.046125,2.669
1669746508.466066,16372.88,1208.47,0.046125,2.668
1669746565.7114606,16374.2,1208.88,0.046125,2.668
1669746624.896273,16364.89,1208.2,0.046163,2.669
1669746685.3555408,16359.62,1208.04,0.046163,2.67
1669746744.739041,16362.95,1208.05,0.046163,2.668
1669746804.8288867,16366.61,1207.93,0.046166,2.667
1669746864.8418784,16358.66,1207.19,0.046166,2.667
1669746924.8264794,16360.1,1207.33,0.046166,2.667
1669746984.8070118,16359.02,1207.25,0.046166,2.667
1669747044.8099062,16360.64,1207.36,0.046166,2.667
1669747105.758966,16360.51,1207.44,0.046166,2.667
1669747164.834633,16369.81,1208.13,0.046175,2.665
1669747225.651307,16368.94,1208.37,0.046175,2.665
1669747284.902771,16366.97,1208.13,0.046175,2.665
1669747345.017024,16366.8,1208.05,0.046175,2.665
1669747404.9081073,16371.63,1208.33,0.046164,2.665
1669747464.874742,16372.76,1208.36,0.046092,2.665
1669747524.9326963,16374.03,1208.64,0.046092,2.665
1669747584.883745,16378.99,1209.49,0.046057,2.665
1669747645.5740097,16396.55,1212.51,0.04605,2.67
1669747704.865589,16400.56,1213.13,0.046068,2.672
1669747765.6507242,16401.03,1212.88,0.046068,2.68
1669747824.802439,16405.2,1212.95,0.046068,2.68
1669747884.819952,16395.14,1211.8,0.046068,2.675
1669747944.7456908,16396.94,1212.38,0.046091,2.672
1669748004.7819364,16396.13,1212.36,0.046047,2.672
1669748064.840797,16392.14,1211.63,0.046047,2.672
1669748124.9047954,16399.8,1212.27,0.046021,2.67
1669748185.9223394,16398.74,1212.32,0.046004,2.67
1669748244.7723415,16402.72,1212.71,0.046004,2.671
1669748305.7338498,16406.1,1212.85,0.046004,2.676
1669748364.9721303,16426.23,1216.04,0.045995,2.677
1669748424.832904,16419.68,1215.38,0.045915,2.676
1669748484.904086,16432.24,1216.11,0.04588,2.68
1669748640.0752008,16470.93,1219.05,0.045654,2.686
1669748664.787592,16449.83,1217.4,0.045677,2.691
1669748725.5519557,16455.66,1217.17,0.04573,2.686
1669748784.7356863,16441.87,1215.8,0.045783,2.686
1669748845.4967842,16442.92,1215.72,0.045793,2.686
1669748904.9605594,16433.84,1214.52,0.045793,2.686
1669748964.767907,16435.24,1214.87,0.045793,2.685
1669749024.810784,16440.96,1215.49,0.045793,2.685
1669749084.8325844,16441.06,1215.88,0.045793,2.685
1669749205.684104,16436.73,1215.46,0.045869,2.685
1669749265.43386,16438.73,1215.46,0.045803,2.686
1669749324.7770042,16444.43,1216.49,0.045803,2.686
1669749444.831736,16441.5,1215.46,0.045731,2.687
1669749504.9231985,16443.57,1215.91,0.045707,2.687
1669749564.833177,16442.72,1215.87,0.045708,2.687
