Time,Price,Average Price 5m,Average Price 30m,Average Price 4h,Cash Allocation,Coin Allocation,Cash Balance,Coin Balance,Value
1668600791.0,0.0448,0.0448,0.0448,0.0448,1.0,0.0,1000.0,0.0,1000.0
1668600851.0,0.04,0.04,0.04,0.04,1.0,0.0,1000.0,0.0,1000.0
1668600911.0,0.04,0.04,0.04,0.04,1.0,0.0,1000.0,0.0,1000.0
1668600972.0,0.04,0.04,0.04,0.04,1.0,0.0,1000.0,0.0,1000.0
1668601032.0,0.04,0.04,0.04,0.04,1.0,0.0,1000.0,0.0,1000.0
1668601094.0,0.04,0.04,0.04,0.04,1.0,0.0,1000.0,0.0,1000.0
1668601154.0,0.04,0.04,0.04,0.04,1.0,0.0,1000.0,0.0,1000.0
1668601214.0,0.04,0.04,0.04,0.04,1.0,0.0,1000.0,0.0,1000.0
1668601274.0,0.04,0.04,0.04,0.04,1.0,0.0,1000.0,0.0,1000.0
1668601335.0,0.04,0.04,0.04,0.04,1.0,0.0,1000.0,0.0,1000.0
1668601396.0,0.04,0.04,0.04,0.04,1.0,0.0,1000.0,0.0,1000.0
1668601455.0,0.04,0.04,0.04,0.04,1.0,0.0,1000.0,0.0,1000.0
1668601517.0,0.04,0.04,0.04,0.04,1.0,0.0,1000.0,0.0,1000.0
1668601576.0,0.04,0.04,0.04,0.04,1.0,0.0,1000.0,0.0,1000.0
1668601637.0,0.04,0.04,0.04,0.04,1.0,0.0,1000.0,0.0,1000.0
1668601697.0,0.04,0.04,0.04,0.04,1.0,0.0,1000.0,0.0,1000.0
1668601758.0,0.05,0.04,0.05,0.05,1.0,0.0,1000.0,0.0,1000.0
1668601817.0,0.05,0.04,0.05,0.05,1.0,0.0,1000.0,0.0,1000.0
1668601878.0,0.05,0.04,0.05,0.05,1.0,0.0,1000.0,0.0,1000.0
1668601938.0,0.05,0.05,0.05,0.05,1.0,0.0,1000.0,0.0,1000.0
1668601999.0,0.05,0.05,0.05,0.05,1.0,0.0,1000.0,0.0,1000.0
1668602060.0,0.05,0.05,0.05,0.05,1.0,0.0,1000.0,0.0,1000.0
1668602119.0,0.05,0.05,0.05,0.05,1.0,0.0,1000.0,0.0,1000.0
1668602179.0,0.04,0.05,0.04,0.04,1.0,0.0,1000.0,0.0,1000.0
1668602240.0,0.04,0.05,0.04,0.04,1.0,0.0,1000.0,0.0,1000.0
1668602300.0,0.04,0.05,0.04,0.04,1.0,0.0,1000.0,0.0,1000.0
1668602360.0,0.04,0.04,0.04,0.04,1.0,0.0,1000.0,0.0,1000.0
1668602421.0,0.04,0.04,0.04,0.04,1.0,0.0,1000.0,0.0,1000.0
1668602482.0,0.04,0.04,0.04,0.04,1.0,0.0,1000.0,0.0,1000.0
1668602541.0,0.04,0.04,0.04,0.04,1.0,0.0,1000.0,0.0,1000.0
1668602602.0,0.04,0.04,0.04,0.04,1.0,0.0,1000.0,0.0,1000.0
1668602662.0,0.04,0.04,0.04,0.04,1.0,0.0,1000.0,0.0,1000.0
1668602722.0,0.04,0.04,0.04,0.04,1.0,0.0,1000.0,0.0,1000.0
1668602784.0,0.04,0.04,0.04,0.04,1.0,0.0,1000.0,0.0,1000.0
