Time,Price 1m,Change 1m,Change 5m,Change 30m,Change 4h,Rate 1m,Rate 5m,Rate 30m,Rate 4h,Difference 5m,Difference 30m,Difference 4h
1668611912.0,16506.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668611954.0,16507.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612014.0,16487.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612074.0,16496.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612134.0,16496.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612194.0,16486.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612254.0,16493.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612314.0,16503.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612374.0,16510.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612434.0,16509.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612494.0,16512.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612557.0,16514.37,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612615.0,16537.28,22.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612675.0,16532.95,-4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612734.0,16526.46,-6.49,4.43,1.31,-6.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612795.0,16521.04,-5.42,3.33,1.92,-5.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612854.0,16518.59,-2.45,1.8,2.34,-2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612914.0,16531.99,13.4,0.84,1.24,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612974.0,16532.2,0.21,-1.05,0.64,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668613034.0,16533.73,1.53,-0.15,0.57,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668613155.0,16545.63,7.21,3.48,1.01,7.21,0.1182,0.0,0.0,0.0,0.0,0.0,0.0
1668613214.0,16540.7,-4.93,5.4,1.53,-4.93,-0.0836,0.0,0.0,0.0,0.0,0.0,0.0
1668613274.0,16539.21,-1.49,1.75,1.09,-1.49,-0.0248,0.0,0.0,0.0,0.0,0.0,0.0
1668613334.0,16520.07,-19.14,1.4,0.86,-19.14,-0.319,0.02,0.01,-0.32,0.0,0.0,0.0
1668613394.0,16523.99,3.92,-2.73,-0.09,3.92,0.0653,-0.05,-0.0,0.07,0.0,0.0,0.0
1668613454.0,16520.13,-3.86,-2.89,-0.03,-3.86,-0.0643,-0.05,-0.0,-0.06,0.0,0.0,0.0
1668613514.0,16508.45,-11.68,-5.1,-0.61,-11.68,-0.1947,-0.08,-0.01,-0.19,0.0,0.0,0.0
1668613575.0,16502.44,-6.01,-6.45,-0.57,-6.01,-0.0985,-0.11,-0.01,-0.1,0.0,0.0,0.0
1668613637.0,16490.51,-11.93,-7.35,-0.66,-11.93,-0.1924,-0.12,-0.01,-0.19,-24.51,-26.51,0.0
1668613694.0,16446.69,-43.82,-5.92,-0.76,-43.82,-0.7688,-0.1,-0.01,-0.77,-62.41,-69.57,0.0
1668613754.0,16400.79,-45.9,-15.46,-2.0,-45.9,-0.765,-0.26,-0.03,-0.76,-92.85,-113.47,0.0
1668613815.0,16413.16,12.37,-23.86,-3.55,12.37,0.2028,-0.39,-0.06,0.2,-56.62,-97.55,0.0
1668613875.0,16438.08,24.92,-19.06,-2.48,24.92,0.4153,-0.32,-0.04,0.42,-12.64,-70.15,0.0
1668613934.0,16448.22,10.14,-12.87,-1.94,10.14,0.1719,-0.22,-0.03,0.17,10.37,-58.07,0.0
1668613995.0,16420.51,-27.71,-8.46,-1.6,-27.71,-0.4543,-0.14,-0.03,-0.45,-8.88,-84.18,0.0
1668614055.0,16421.74,1.23,-5.24,-2.18,1.23,0.0205,-0.09,-0.04,0.02,-2.41,-80.77,0.0
1668614114.0,16443.24,21.5,4.19,-2.4,21.5,0.3644,0.07,-0.04,0.36,14.9,-56.87,0.0
1668614174.0,16428.19,-15.05,6.02,-2.0,-15.05,-0.2508,0.1,-0.03,-0.25,-6.17,-69.92,0.0
1668614234.0,16450.99,22.8,-1.98,-2.76,22.8,0.38,-0.03,-0.05,0.38,18.61,-44.36,0.0
1668614294.0,16458.98,7.99,0.55,-1.96,7.99,7.99,0.55,-1.96,7.99,26.05,-34.41,0.0
1668614355.0,16443.61,-15.37,7.7,-1.77,-15.37,-15.118,7.57,-1.74,-15.12,2.98,-48.01,0.0
1668614414.0,16431.7,-11.91,4.37,-2.35,-11.91,-12.1119,4.44,-2.39,-12.11,-13.3,-57.57,0.0
1668614475.0,16432.56,0.86,-2.31,-3.52,0.86,0.8459,-2.27,-3.46,0.85,-10.13,-53.19,0.0
1668614534.0,16418.67,-13.89,0.88,-3.35,-13.89,-14.1254,0.89,-3.41,-14.13,-24.9,-63.73,0.0
1668614595.0,16411.96,-6.71,-6.47,-3.59,-6.71,-6.6,-6.36,-3.53,-6.6,-25.14,-66.85,0.0
1668614655.0,16439.61,27.65,-9.4,-3.64,27.65,27.65,-9.4,-3.64,27.65,11.91,-35.56,0.0
1668614715.0,16453.4,13.79,-0.8,-2.63,13.79,13.79,-0.8,-2.63,13.79,26.5,-19.14,0.0
1668614774.0,16454.25,0.85,4.34,-2.62,0.85,0.8644,4.41,-2.66,0.86,23.01,-15.67,0.0
1668614835.0,16451.38,-2.87,4.34,-2.6,-2.87,-2.823,4.27,-2.56,-2.82,15.8,-15.94,0.0
1668614895.0,16443.69,-7.69,6.54,-2.74,-7.69,-7.69,6.54,-2.74,-7.69,1.57,-20.89,0.0
1668614955.0,16436.69,-7.0,6.35,-3.16,-7.0,-7.0,6.35,-3.16,-7.0,-11.78,-24.73,0.0
1668615015.0,16457.06,20.37,-0.59,-3.63,20.37,20.37,-0.59,-3.63,20.37,9.18,-0.73,0.0
1668615075.0,16463.37,6.31,0.73,-2.79,87.32,6.31,0.73,-2.79,87.32,14.76,8.37,-81.01
1668615135.0,16458.98,-4.39,1.83,-2.53,-0.75,-4.39,1.83,-2.53,-0.75,8.54,6.51,-84.65
1668615195.0,16467.03,8.05,1.52,-2.04,-0.84,8.05,1.52,-2.04,-0.84,15.07,16.6,-75.76
1668615255.0,16476.65,9.62,4.67,-1.89,-0.73,9.62,4.67,-1.89,-0.73,20.02,28.11,-65.41
1668615315.0,16480.06,3.41,7.99,-1.45,-0.67,3.41,7.99,-1.45,-0.67,15.44,32.97,-61.33
1668615375.0,16478.14,-1.92,4.6,-0.95,-0.74,-1.92,4.6,-0.95,-0.74,8.92,32.0,-62.51
1668615435.0,16462.96,-15.18,2.95,-0.81,-0.78,-15.18,2.95,-0.81,-0.78,-9.21,17.63,-76.91
1668615495.0,16456.41,-6.55,0.8,-0.92,-0.81,-6.55,0.8,-0.92,-0.81,-16.56,12.0,-82.65
1668615555.0,16461.53,5.12,-2.13,0.33,-0.83,5.12,-2.13,0.33,-0.83,-9.31,16.79,-76.7
1668615615.0,16480.47,18.94,-3.02,2.02,-0.85,18.94,-3.02,2.02,-0.85,12.65,33.71,-56.91
1668615675.0,16465.71,-14.76,0.08,2.24,-0.76,-14.76,0.08,2.24,-0.76,-2.19,16.71,-70.91
1668615734.0,16466.37,0.66,-2.48,0.93,-0.83,0.6712,-2.52,0.95,-0.84,0.95,16.44,-69.42
1668615795.0,16482.55,16.18,0.68,0.6,-0.8,15.9148,0.67,0.59,-0.79,16.45,32.02,-52.44
1668615855.0,16460.0,-22.55,5.23,2.07,-0.76,-22.55,5.23,2.07,-0.76,-11.33,7.4,-74.23
1668615914.0,16465.95,5.95,-0.31,1.27,-0.77,6.0508,-0.32,1.29,-0.78,-5.07,12.08,-67.51
1668615975.0,16453.52,-12.43,-2.9,0.76,-0.75,-12.2262,-2.85,0.75,-0.74,-14.6,-1.11,-79.19
1668616035.0,16446.27,-7.25,-2.44,0.85,-0.77,-7.25,-2.44,0.85,-0.77,-19.41,-9.21,-85.67
1668616095.0,16452.87,6.6,-4.02,-0.16,-0.66,6.6,-4.02,-0.16,-0.66,-8.79,-2.45,-78.41
1668616155.0,16465.96,13.09,-5.94,-0.21,-0.59,13.09,-5.94,-0.21,-0.59,10.24,10.85,-64.73
1668616216.0,16459.33,-6.63,1.19,0.75,-0.6,-6.5213,1.17,0.74,-0.59,2.42,3.47,-70.76
1668616275.0,16443.7,-15.63,-1.32,0.92,-0.64,-15.8949,-1.34,0.94,-0.65,-11.89,-13.08,-85.75
1668616335.0,16455.93,12.23,-1.96,0.37,-0.66,12.23,-1.96,0.37,-0.66,2.3,-1.22,-72.86
1668616395.0,16475.61,19.68,1.93,1.24,-0.69,19.68,1.93,1.24,-0.69,20.05,17.22,-52.49
1668616455.0,16486.29,10.68,4.55,2.13,-0.63,10.68,4.55,2.13,-0.63,26.18,25.77,-41.18
1668616515.0,16476.93,-9.36,4.06,1.55,-0.51,-9.36,4.06,1.55,-0.51,12.76,14.86,-50.03
1668616575.0,16469.09,-7.84,3.52,0.79,-0.5,-7.84,3.52,0.79,-0.5,1.4,6.23,-57.37
1668616635.0,16474.66,5.57,5.08,0.49,-0.56,5.57,5.08,0.49,-0.56,1.89,11.31,-51.24
1668616695.0,16466.73,-7.93,3.75,0.78,-0.55,-7.93,3.75,0.78,-0.55,-9.79,2.6,-58.62
1668616755.0,16450.62,-16.11,-1.78,0.76,-0.68,-16.11,-1.78,0.76,-0.68,-24.12,-14.27,-74.05
1668616815.0,16471.29,20.67,-7.13,0.47,-0.83,20.67,-7.13,0.47,-0.83,3.68,5.93,-52.55
1668616875.0,16495.11,23.82,-1.13,0.47,-0.79,23.82,-1.13,0.47,-0.79,28.63,29.28,-27.94
1668616935.0,16514.28,19.17,5.2,1.06,-0.67,19.17,5.2,1.06,-0.67,42.6,47.39,-8.1
1668616995.0,16507.73,-6.55,7.93,1.84,-0.58,-6.55,7.93,1.84,-0.58,28.12,39.0,-14.07
1668617055.0,16510.73,3.0,8.2,1.36,-0.66,3.0,8.2,1.36,-0.66,22.92,40.64,-10.41
1668617115.0,16520.83,10.1,12.02,1.14,-0.71,10.1,12.02,1.14,-0.71,21.0,49.6,0.4
1668617175.0,16512.74,-8.09,9.91,1.36,-0.64,-8.09,9.91,1.36,-0.64,3.0,40.15,-7.05
1668617235.0,16511.42,-1.32,3.52,1.15,-0.68,-1.32,3.52,1.15,-0.68,-1.84,37.68,-7.69
1668617295.0,16526.42,15.0,-0.57,1.61,-0.61,15.0,-0.57,1.61,-0.61,13.73,51.07,7.92
1668617355.0,16537.06,10.64,3.74,2.34,-0.58,10.64,3.74,2.34,-0.58,20.63,59.37,19.14
1668617415.0,16540.78,3.72,5.26,2.52,-0.51,3.72,5.26,2.52,-0.51,19.09,60.57,23.37
