Time,Price,Average Price 5m,Average Price 30m,Average Price 4h,Cash Allocation,Coin Allocation,Cash Balance,Coin Balance,Value
1668600791.0,16643.54,16643.54,16643.54,16643.54,1.0,0.0,1000.0,0.0,1000.0
1668600851.0,16662.0,16662.0,16662.0,16662.0,1.0,0.0,1000.0,0.0,1000.0
1668600911.0,16641.69,16641.69,16641.69,16641.69,1.0,0.0,1000.0,0.0,1000.0
1668600972.0,16637.89,16637.89,16637.89,16637.89,1.0,0.0,1000.0,0.0,1000.0
1668601032.0,16656.96,16656.96,16656.96,16656.96,1.0,0.0,1000.0,0.0,1000.0
1668601094.0,16665.67,16648.42,16665.67,16665.67,1.0,0.0,1000.0,0.0,1000.0
1668601154.0,16658.27,16652.84,16658.27,16658.27,1.0,0.0,1000.0,0.0,1000.0
1668601214.0,16654.01,16652.1,16654.01,16654.01,1.0,0.0,1000.0,0.0,1000.0
1668601274.0,16665.66,16654.56,16665.66,16665.66,1.0,0.0,1000.0,0.0,1000.0
1668601335.0,16663.55,16660.11,16663.55,16663.55,1.0,0.0,1000.0,0.0,1000.0
1668601395.0,16664.65,16661.43,16664.65,16664.65,1.0,0.0,1000.0,0.0,1000.0
1668601455.0,16658.18,16661.23,16658.18,16658.18,1.0,0.0,1000.0,0.0,1000.0
1668601517.0,16665.92,16661.21,16665.92,16665.92,1.0,0.0,1000.0,0.0,1000.0
1668601576.0,16644.48,16663.59,16644.48,16644.48,1.0,0.0,1000.0,0.0,1000.0
1668601637.0,16645.32,16659.36,16645.32,16645.32,1.0,0.0,1000.0,0.0,1000.0
1668601697.0,16639.07,16655.71,16639.07,16639.07,1.0,0.0,1000.0,0.0,1000.0
1668601758.0,16604.8,16650.59,16604.8,16604.8,1.0,0.0,1000.0,0.0,1000.0
1668601817.0,16593.03,16639.92,16593.03,16593.03,1.0,0.0,1000.0,0.0,1000.0
1668601878.0,16611.81,16625.34,16611.81,16611.81,1.0,0.0,1000.0,0.0,1000.0
1668601938.0,16611.0,16618.81,16611.0,16611.0,1.0,0.0,1000.0,0.0,1000.0
1668601998.0,16603.61,16611.94,16603.61,16603.61,1.0,0.0,1000.0,0.0,1000.0
1668602059.0,16621.45,16604.85,16621.45,16621.45,1.0,0.0,1000.0,0.0,1000.0
1668602119.0,16626.17,16608.18,16626.17,16626.17,1.0,0.0,1000.0,0.0,1000.0
1668602179.0,16608.06,16614.81,16608.06,16608.06,1.0,0.0,1000.0,0.0,1000.0
1668602240.0,16598.82,16614.06,16598.82,16598.82,1.0,0.0,1000.0,0.0,1000.0
1668602300.0,16602.38,16611.62,16602.38,16602.38,1.0,0.0,1000.0,0.0,1000.0
1668602360.0,16606.95,16611.38,16606.95,16606.95,1.0,0.0,1000.0,0.0,1000.0
1668602421.0,16628.88,16608.48,16628.88,16628.88,1.0,0.0,1000.0,0.0,1000.0
1668602482.0,16650.0,16609.02,16650.0,16650.0,1.0,0.0,1000.0,0.0,1000.0
1668602541.0,16661.41,16617.41,16661.41,16661.41,1.0,0.0,1000.0,0.0,1000.0
1668602602.0,16656.04,16629.92,16656.04,16656.04,1.0,0.0,1000.0,0.0,1000.0
1668602662.0,16653.05,16640.66,16653.05,16653.05,1.0,0.0,1000.0,0.0,1000.0
1668602722.0,16666.33,16649.88,16666.33,16666.33,1.0,0.0,1000.0,0.0,1000.0
1668602784.0,16680.31,16657.37,16680.31,16680.31,1.0,0.0,1000.0,0.0,1000.0
1668602843.0,16675.72,16663.43,16675.72,16675.72,1.0,0.0,1000.0,0.0,1000.0
1668602904.0,16676.42,16666.29,16676.42,16676.42,1.0,0.0,1000.0,0.0,1000.0
1668602965.0,16657.12,16670.37,16657.12,16657.12,1.0,0.0,1000.0,0.0,1000.0
1668603024.0,16666.38,16671.18,16666.38,16666.38,1.0,0.0,1000.0,0.0,1000.0
1668603084.0,16658.39,16671.19,16658.39,16658.39,1.0,0.0,1000.0,0.0,1000.0
1668603145.0,16637.89,16666.81,16637.89,16637.89,1.0,0.0,1000.0,0.0,1000.0
1668603205.0,16645.48,16659.24,16645.48,16645.48,1.0,0.0,1000.0,0.0,1000.0
1668603266.0,16632.86,16653.05,16632.86,16632.86,1.0,0.0,1000.0,0.0,1000.0
1668603327.0,16638.86,16648.2,16638.86,16638.86,1.0,0.0,1000.0,0.0,1000.0
1668603387.0,16638.76,16642.7,16638.76,16638.76,1.0,0.0,1000.0,0.0,1000.0
1668603446.0,16659.62,16638.77,16659.62,16659.62,1.0,0.0,1000.0,0.0,1000.0
1668603508.0,16659.78,16643.12,16659.78,16659.78,1.0,0.0,1000.0,0.0,1000.0
1668603568.0,16661.21,16645.98,16661.21,16661.21,1.0,0.0,1000.0,0.0,1000.0
1668603628.0,16659.33,16651.65,16659.33,16659.33,1.0,0.0,1000.0,0.0,1000.0
1668603689.0,16612.21,16655.74,16612.21,16612.21,1.0,0.0,1000.0,0.0,1000.0
1668603748.0,16556.41,16650.43,16556.41,16556.41,1.0,0.0,1000.0,0.0,1000.0
1668603808.0,16546.85,16629.79,16546.85,16546.85,1.0,0.0,1000.0,0.0,1000.0
1668603870.0,16565.58,16607.2,16565.58,16565.58,1.0,0.0,1000.0,0.0,1000.0
1668603930.0,16541.15,16588.08,16541.15,16541.15,1.0,0.0,1000.0,0.0,1000.0
1668603990.0,16554.25,16564.44,16554.25,16554.25,1.0,0.0,1000.0,0.0,1000.0
1668604051.0,16536.36,16552.85,16536.36,16536.36,1.0,0.0,1000.0,0.0,1000.0
1668604111.0,16558.57,16548.84,16558.57,16558.57,1.0,0.0,1000.0,0.0,1000.0
1668604171.0,16575.18,16551.18,16575.18,16575.18,1.0,0.0,1000.0,0.0,1000.0
1668604232.0,16603.14,16553.1,16603.14,16603.14,1.0,0.0,1000.0,0.0,1000.0
1668604291.0,16598.97,16565.5,16598.97,16598.97,1.0,0.0,1000.0,0.0,1000.0
1668604352.0,16570.57,16574.44,16570.57,16570.57,1.0,0.0,1000.0,0.0,1000.0
1668604413.0,16569.74,16581.29,16569.74,16569.74,1.0,0.0,1000.0,0.0,1000.0
1668604473.0,16589.24,16583.52,16589.24,16589.24,1.0,0.0,1000.0,0.0,1000.0
1668604534.0,16587.3,16586.33,16587.3,16587.3,1.0,0.0,1000.0,0.0,1000.0
1668604594.0,16577.9,16583.16,16577.9,16577.9,1.0,0.0,1000.0,0.0,1000.0
1668604654.0,16598.15,16578.95,16598.15,16598.15,1.0,0.0,1000.0,0.0,1000.0
1668604715.0,16600.3,16584.47,16600.3,16600.3,1.0,0.0,1000.0,0.0,1000.0
1668604775.0,16591.64,16590.58,16591.64,16591.64,1.0,0.0,1000.0,0.0,1000.0
1668604835.0,16592.76,16591.06,16592.76,16592.76,1.0,0.0,1000.0,0.0,1000.0
1668604895.0,16598.95,16592.15,16598.95,16598.95,1.0,0.0,1000.0,0.0,1000.0
1668604956.0,16608.4,16596.36,16608.4,16608.4,1.0,0.0,1000.0,0.0,1000.0
1668605016.0,16615.38,16598.41,16615.38,16615.38,1.0,0.0,1000.0,0.0,1000.0
1668605089.0,16622.18,16601.43,16622.18,16622.18,1.0,0.0,1000.0,0.0,1000.0
1668605155.0,16607.32,16607.53,16607.32,16607.32,1.0,0.0,1000.0,0.0,1000.0
1668605212.0,16594.47,16610.45,16594.47,16594.47,1.0,0.0,1000.0,0.0,1000.0
1668605342.0,16605.05,16609.55,16605.05,16605.05,1.0,0.0,1000.0,0.0,1000.0
1668605388.0,16610.78,16608.88,16610.78,16610.78,1.0,0.0,1000.0,0.0,1000.0
1668605448.0,16534.28,16607.96,16534.28,16534.28,1.0,0.0,1000.0,0.0,1000.0
1668605509.0,16576.92,16590.38,16576.92,16576.92,1.0,0.0,1000.0,0.0,1000.0
1668605596.0,16683.1,16584.3,16683.1,16683.1,1.0,0.0,1000.0,0.0,1000.0
1668605630.0,16683.86,16602.03,16585.7,16683.86,1.0,0.0,1000.0,0.0,1000.0
1668605690.0,16648.44,16617.79,16589.94,16648.44,1.0,0.0,1000.0,0.0,1000.0
1668605751.0,16591.49,16625.32,16593.33,16591.49,1.0,0.0,1000.0,0.0,1000.0
1668605810.0,16569.98,16636.76,16594.19,16569.98,1.0,0.0,1000.0,0.0,1000.0
1668605871.0,16567.03,16635.37,16595.16,16567.03,1.0,0.0,1000.0,0.0,1000.0
1668605931.0,16556.74,16612.16,16595.58,16556.74,1.0,0.0,1000.0,0.0,1000.0
1668605991.0,16579.06,16586.74,16596.26,16579.06,1.0,0.0,1000.0,0.0,1000.0
1668606052.0,16571.4,16572.86,16596.94,16571.4,1.0,0.0,1000.0,0.0,1000.0
1668606111.0,16577.0,16568.84,16596.82,16577.0,1.0,0.0,1000.0,0.0,1000.0
1668606171.0,16589.22,16570.25,16595.95,16589.22,1.0,0.0,1000.0,0.0,1000.0
1668606232.0,16574.59,16574.68,16595.62,16574.59,1.0,0.0,1000.0,0.0,1000.0
1668606292.0,16576.97,16578.25,16595.76,16576.97,1.0,0.0,1000.0,0.0,1000.0
1668606352.0,16602.59,16577.84,16596.0,16602.59,1.0,0.0,1000.0,0.0,1000.0
1668606413.0,16636.04,16584.07,16596.44,16636.04,1.0,0.0,1000.0,0.0,1000.0
1668606473.0,16628.36,16595.88,16598.07,16628.36,1.0,0.0,1000.0,0.0,1000.0
1668606533.0,16621.66,16603.71,16599.75,16621.66,1.0,0.0,1000.0,0.0,1000.0
1668606594.0,16591.79,16613.12,16600.53,16591.79,1.0,0.0,1000.0,0.0,1000.0
1668606654.0,16578.01,16616.09,16600.25,16578.01,1.0,0.0,1000.0,0.0,1000.0
1668606714.0,16567.56,16611.17,16599.79,16567.56,1.0,0.0,1000.0,0.0,1000.0
1668606775.0,16555.65,16597.48,16598.95,16555.65,1.0,0.0,1000.0,0.0,1000.0
1668606835.0,16558.49,16582.93,16597.51,16558.49,1.0,0.0,1000.0,0.0,1000.0
1668606895.0,16542.57,16570.3,16595.85,16542.57,1.0,0.0,1000.0,0.0,1000.0
1668606956.0,16522.77,16560.46,16593.42,16522.77,1.0,0.0,1000.0,0.0,1000.0
1668607016.0,16510.85,16549.41,16590.11,16510.85,1.0,0.0,1000.0,0.0,1000.0
1668607076.0,16504.3,16538.07,16586.89,16504.3,1.0,0.0,1000.0,0.0,1000.0
1668607137.0,16503.28,16527.8,16583.88,16503.28,1.0,0.0,1000.0,0.0,1000.0
1668607197.0,16505.64,16516.75,16580.49,16505.64,1.0,0.0,1000.0,0.0,1000.0
1668607257.0,16524.43,16509.37,16576.99,16524.43,1.0,0.0,1000.0,0.0,1000.0
1668607317.0,16530.23,16509.7,16576.66,16530.23,1.0,0.0,1000.0,0.0,1000.0
1668607317.0,16530.23,16513.58,16575.1,16530.23,1.0,0.0,1000.0,0.0,1000.0
1668607378.0,16516.71,16518.76,16570.01,16516.71,1.0,0.0,1000.0,0.0,1000.0
1668607378.0,16516.71,16521.45,16564.44,16516.71,1.0,0.0,1000.0,0.0,1000.0
1668607437.0,16514.19,16523.66,16560.05,16514.19,1.0,0.0,1000.0,0.0,1000.0
1668607437.0,16514.19,16521.61,16557.47,16514.19,1.0,0.0,1000.0,0.0,1000.0
1668607499.0,16445.1,16518.41,16555.61,16445.1,1.0,0.0,1000.0,0.0,1000.0
1668607499.0,16445.1,16501.38,16551.54,16445.1,1.0,0.0,1000.0,0.0,1000.0
1668607559.0,16495.98,16487.06,16547.82,16495.98,1.0,0.0,1000.0,0.0,1000.0
1668607619.0,16488.35,16482.91,16545.05,16488.35,1.0,0.0,1000.0,0.0,1000.0
1668607679.0,16435.63,16477.74,16542.29,16435.63,1.0,0.0,1000.0,0.0,1000.0
1668607739.0,16461.63,16462.03,16537.57,16461.63,1.0,0.0,1000.0,0.0,1000.0
1668607800.0,16438.26,16465.34,16533.32,16438.26,1.0,0.0,1000.0,0.0,1000.0
1668607860.0,16433.44,16463.97,16528.78,16433.44,1.0,0.0,1000.0,0.0,1000.0
1668607920.0,16476.72,16451.46,16523.99,16476.72,1.0,0.0,1000.0,0.0,1000.0
1668607980.0,16475.78,16449.14,16519.8,16475.78,1.0,0.0,1000.0,0.0,1000.0
1668608041.0,16477.79,16457.17,16514.45,16477.79,1.0,0.0,1000.0,0.0,1000.0
1668608101.0,16490.93,16460.4,16509.43,16490.93,1.0,0.0,1000.0,0.0,1000.0
1668608161.0,16490.63,16470.93,16505.08,16490.63,1.0,0.0,1000.0,0.0,1000.0
1668608222.0,16484.06,16482.37,16501.71,16484.06,1.0,0.0,1000.0,0.0,1000.0
1668608282.0,16484.55,16483.84,16498.57,16484.55,1.0,0.0,1000.0,0.0,1000.0
1668608342.0,16506.86,16485.59,16495.81,16506.86,1.0,0.0,1000.0,0.0,1000.0
1668608403.0,16519.17,16491.41,16494.18,16519.17,1.0,0.0,1000.0,0.0,1000.0
1668608463.0,16517.25,16497.05,16492.87,16517.25,1.0,0.0,1000.0,0.0,1000.0
1668608523.0,16526.73,16502.38,16492.03,16526.73,1.0,0.0,1000.0,0.0,1000.0
1668608584.0,16506.32,16510.91,16492.16,16506.32,1.0,0.0,1000.0,0.0,1000.0
1668608644.0,16503.0,16515.27,16492.01,16503.0,1.0,0.0,1000.0,0.0,1000.0
1668608704.0,16508.49,16514.49,16491.96,16508.49,1.0,0.0,1000.0,0.0,1000.0
1668608765.0,16499.79,16512.36,16492.14,16499.79,1.0,0.0,1000.0,0.0,1000.0
1668608825.0,16512.46,16508.87,16491.94,16512.46,1.0,0.0,1000.0,0.0,1000.0
1668608885.0,16525.24,16506.01,16491.54,16525.24,1.0,0.0,1000.0,0.0,1000.0
1668608945.0,16530.0,16509.8,16491.38,16530.0,1.0,0.0,1000.0,0.0,1000.0
1668609005.0,16526.6,16515.2,16491.37,16526.6,1.0,0.0,1000.0,0.0,1000.0
1668609065.0,16529.16,16518.82,16491.7,16529.16,1.0,0.0,1000.0,0.0,1000.0
1668609126.0,16524.56,16524.69,16492.11,16524.56,1.0,0.0,1000.0,0.0,1000.0
1668609186.0,16532.24,16527.11,16492.46,16532.24,1.0,0.0,1000.0,0.0,1000.0
1668609246.0,16546.53,16528.51,16493.06,16546.53,1.0,0.0,1000.0,0.0,1000.0
1668609307.0,16565.92,16531.82,16496.44,16565.92,1.0,0.0,1000.0,0.0,1000.0
1668609368.0,16565.01,16539.68,16500.47,16565.01,1.0,0.0,1000.0,0.0,1000.0
1668609427.0,16536.84,16546.85,16502.77,16536.84,1.0,0.0,1000.0,0.0,1000.0
1668609488.0,16526.04,16549.31,16504.39,16526.04,1.0,0.0,1000.0,0.0,1000.0
1668609548.0,16535.09,16548.07,16507.4,16535.09,1.0,0.0,1000.0,0.0,1000.0
1668609608.0,16543.33,16545.78,16509.85,16543.33,1.0,0.0,1000.0,0.0,1000.0
1668609669.0,16514.48,16541.26,16513.35,16514.48,1.0,0.0,1000.0,0.0,1000.0
1668609729.0,16512.39,16531.16,16516.05,16512.39,1.0,0.0,1000.0,0.0,1000.0
1668609789.0,16504.42,16526.27,16517.24,16504.42,1.0,0.0,1000.0,0.0,1000.0
1668609850.0,16486.74,16521.94,16518.2,16486.74,1.0,0.0,1000.0,0.0,1000.0
1668609911.0,16504.09,16512.27,16518.49,16504.09,1.0,0.0,1000.0,0.0,1000.0
1668609970.0,16517.48,16504.42,16518.93,16517.48,1.0,0.0,1000.0,0.0,1000.0
1668610031.0,16519.82,16505.02,16519.83,16519.82,1.0,0.0,1000.0,0.0,1000.0
1668610091.0,16515.2,16506.51,16521.02,16515.2,1.0,0.0,1000.0,0.0,1000.0
1668610151.0,16511.12,16508.67,16522.04,16511.12,1.0,0.0,1000.0,0.0,1000.0
1668610212.0,16482.07,16513.54,16522.18,16482.07,1.0,0.0,1000.0,0.0,1000.0
1668610272.0,16460.88,16509.14,16520.95,16460.88,1.0,0.0,1000.0,0.0,1000.0
1668610332.0,16459.87,16497.82,16519.07,16459.87,1.0,0.0,1000.0,0.0,1000.0
1668610393.0,16458.95,16485.83,16516.84,16458.95,1.0,0.0,1000.0,0.0,1000.0
1668610453.0,16435.85,16474.58,16515.26,16435.85,1.0,0.0,1000.0,0.0,1000.0
1668610513.0,16428.49,16459.52,16513.02,16428.49,1.0,0.0,1000.0,0.0,1000.0
1668610574.0,16436.57,16448.81,16510.36,16436.57,1.0,0.0,1000.0,0.0,1000.0
1668610634.0,16440.75,16443.95,16508.25,16440.75,1.0,0.0,1000.0,0.0,1000.0
1668610694.0,16461.77,16440.12,16505.86,16461.77,1.0,0.0,1000.0,0.0,1000.0
1668610754.0,16490.93,16440.69,16503.74,16490.93,1.0,0.0,1000.0,0.0,1000.0
1668610818.0,16497.94,16451.7,16502.44,16497.94,1.0,0.0,1000.0,0.0,1000.0
1668610874.0,16493.56,16465.59,16501.48,16493.56,1.0,0.0,1000.0,0.0,1000.0
1668610935.0,16468.8,16476.99,16500.3,16468.8,1.0,0.0,1000.0,0.0,1000.0
1668610994.0,16450.95,16482.6,16498.44,16450.95,1.0,0.0,1000.0,0.0,1000.0
1668611054.0,16481.42,16480.44,16495.73,16481.42,1.0,0.0,1000.0,0.0,1000.0
1668611114.0,16512.81,16478.53,16493.56,16512.81,1.0,0.0,1000.0,0.0,1000.0
1668611174.0,16515.03,16481.51,16491.79,16515.03,1.0,0.0,1000.0,0.0,1000.0
1668611234.0,16506.08,16485.8,16490.12,16506.08,1.0,0.0,1000.0,0.0,1000.0
1668611294.0,16508.24,16493.26,16489.1,16508.24,1.0,0.0,1000.0,0.0,1000.0
1668611355.0,16499.64,16504.72,16488.5,16499.64,1.0,0.0,1000.0,0.0,1000.0
1668611414.0,16507.95,16508.36,16487.32,16507.95,1.0,0.0,1000.0,0.0,1000.0
1668611474.0,16513.41,16507.39,16486.14,16513.41,1.0,0.0,1000.0,0.0,1000.0
1668611534.0,16522.87,16507.06,16486.11,16522.87,1.0,0.0,1000.0,0.0,1000.0
1668611594.0,16524.71,16510.42,16486.46,16524.71,1.0,0.0,1000.0,0.0,1000.0
1668611654.0,16538.59,16513.72,16487.13,16538.59,1.0,0.0,1000.0,0.0,1000.0
1668611714.0,16525.48,16521.51,16488.86,16525.48,1.0,0.0,1000.0,0.0,1000.0
1668611774.0,16522.38,16525.01,16489.57,16522.38,1.0,0.0,1000.0,0.0,1000.0
1668611834.0,16513.25,16526.81,16489.74,16513.25,1.0,0.0,1000.0,0.0,1000.0
1668611912.0,16506.69,16524.88,16489.52,16506.69,1.0,0.0,1000.0,0.0,1000.0
1668611954.0,16507.33,16521.28,16489.24,16507.33,1.0,0.0,1000.0,0.0,1000.0
1668612014.0,16487.55,16515.03,16489.11,16487.55,1.0,0.0,1000.0,0.0,1000.0
1668612074.0,16496.23,16507.44,16489.29,16496.23,1.0,0.0,1000.0,0.0,1000.0
1668612134.0,16496.07,16502.21,16490.47,16496.07,1.0,0.0,1000.0,0.0,1000.0
1668612194.0,16486.17,16498.77,16491.68,16486.17,1.0,0.0,1000.0,0.0,1000.0
1668612254.0,16493.61,16494.67,16492.58,16493.61,1.0,0.0,1000.0,0.0,1000.0
1668612314.0,16503.3,16491.93,16494.51,16503.3,1.0,0.0,1000.0,0.0,1000.0
1668612374.0,16510.78,16495.08,16497.0,16510.78,1.0,0.0,1000.0,0.0,1000.0
1668612434.0,16509.84,16497.99,16499.48,16509.84,1.0,0.0,1000.0,0.0,1000.0
1668612494.0,16512.02,16500.74,16501.78,16512.02,1.0,0.0,1000.0,0.0,1000.0
1668612557.0,16514.37,16505.91,16503.45,16514.37,1.0,0.0,1000.0,0.0,1000.0
1668612615.0,16537.28,16510.06,16504.24,16537.28,1.0,0.0,1000.0,0.0,1000.0
1668612675.0,16532.95,16516.86,16505.55,16532.95,1.0,0.0,1000.0,0.0,1000.0
