Time,Price,Average Price 5m,Average Price 30m,Average Price 4h,Cash Allocation,Coin Allocation,Cash Balance,Coin Balance,Value
1668600791.0,1217.16,1217.16,1217.16,1217.16,1.0,0.0,1000.0,0.0,1000.0
1668600851.0,1220.33,1220.33,1220.33,1220.33,1.0,0.0,1000.0,0.0,1000.0
1668600911.0,1218.67,1218.67,1218.67,1218.67,1.0,0.0,1000.0,0.0,1000.0
1668600972.0,1220.03,1220.03,1220.03,1220.03,1.0,0.0,1000.0,0.0,1000.0
1668601032.0,1220.59,1220.59,1220.59,1220.59,1.0,0.0,1000.0,0.0,1000.0
1668601094.0,1220.72,1219.36,1220.72,1220.72,1.0,0.0,1000.0,0.0,1000.0
1668601154.0,1220.82,1220.07,1220.82,1220.82,1.0,0.0,1000.0,0.0,1000.0
1668601214.0,1220.33,1220.17,1220.33,1220.33,1.0,0.0,1000.0,0.0,1000.0
1668601274.0,1221.47,1220.5,1221.47,1221.47,1.0,0.0,1000.0,0.0,1000.0
1668601335.0,1220.97,1220.79,1220.97,1220.97,1.0,0.0,1000.0,0.0,1000.0
1668601395.0,1220.87,1220.86,1220.87,1220.87,1.0,0.0,1000.0,0.0,1000.0
1668601455.0,1220.18,1220.89,1220.18,1220.18,1.0,0.0,1000.0,0.0,1000.0
1668601517.0,1221.02,1220.76,1221.02,1221.02,1.0,0.0,1000.0,0.0,1000.0
1668601576.0,1218.57,1220.9,1218.57,1218.57,1.0,0.0,1000.0,0.0,1000.0
1668601637.0,1218.77,1220.32,1218.77,1218.77,1.0,0.0,1000.0,0.0,1000.0
1668601697.0,1218.2,1219.88,1218.2,1218.2,1.0,0.0,1000.0,0.0,1000.0
1668601758.0,1217.33,1219.35,1217.33,1217.33,1.0,0.0,1000.0,0.0,1000.0
1668601817.0,1217.62,1218.78,1217.62,1217.62,1.0,0.0,1000.0,0.0,1000.0
1668601878.0,1219.59,1218.1,1219.59,1219.59,1.0,0.0,1000.0,0.0,1000.0
1668601938.0,1219.18,1218.3,1219.18,1219.18,1.0,0.0,1000.0,0.0,1000.0
1668601998.0,1219.17,1218.38,1219.17,1219.17,1.0,0.0,1000.0,0.0,1000.0
1668602060.0,1220.29,1218.58,1220.29,1220.29,1.0,0.0,1000.0,0.0,1000.0
1668602119.0,1220.37,1219.17,1220.37,1220.37,1.0,0.0,1000.0,0.0,1000.0
1668602179.0,1219.41,1219.72,1219.41,1219.41,1.0,0.0,1000.0,0.0,1000.0
1668602240.0,1217.94,1219.68,1217.94,1217.94,1.0,0.0,1000.0,0.0,1000.0
1668602300.0,1218.04,1219.44,1218.04,1218.04,1.0,0.0,1000.0,0.0,1000.0
1668602360.0,1218.83,1219.21,1218.83,1218.83,1.0,0.0,1000.0,0.0,1000.0
1668602421.0,1219.95,1218.92,1219.95,1219.95,1.0,0.0,1000.0,0.0,1000.0
1668602482.0,1221.13,1218.83,1221.13,1221.13,1.0,0.0,1000.0,0.0,1000.0
1668602541.0,1222.16,1219.18,1222.16,1222.16,1.0,0.0,1000.0,0.0,1000.0
1668602602.0,1222.42,1220.02,1222.42,1222.42,1.0,0.0,1000.0,0.0,1000.0
1668602662.0,1221.99,1220.9,1221.99,1221.99,1.0,0.0,1000.0,0.0,1000.0
1668602722.0,1222.74,1221.53,1222.74,1222.74,1.0,0.0,1000.0,0.0,1000.0
1668602784.0,1224.19,1222.09,1224.19,1224.19,1.0,0.0,1000.0,0.0,1000.0
1668602844.0,1223.83,1222.7,1223.83,1223.83,1.0,0.0,1000.0,0.0,1000.0
1668602904.0,1224.09,1223.03,1224.09,1224.09,1.0,0.0,1000.0,0.0,1000.0
1668602965.0,1222.97,1223.37,1222.97,1222.97,1.0,0.0,1000.0,0.0,1000.0
1668603024.0,1223.23,1223.56,1223.23,1223.23,1.0,0.0,1000.0,0.0,1000.0
1668603084.0,1222.38,1223.66,1222.38,1222.38,1.0,0.0,1000.0,0.0,1000.0
1668603145.0,1221.09,1223.3,1221.09,1221.09,1.0,0.0,1000.0,0.0,1000.0
1668603205.0,1221.82,1222.75,1221.82,1221.82,1.0,0.0,1000.0,0.0,1000.0
1668603266.0,1220.59,1222.3,1220.59,1220.59,1.0,0.0,1000.0,0.0,1000.0
1668603327.0,1220.78,1221.82,1220.78,1220.78,1.0,0.0,1000.0,0.0,1000.0
1668603387.0,1221.01,1221.33,1221.01,1221.01,1.0,0.0,1000.0,0.0,1000.0
1668603446.0,1221.99,1221.06,1221.99,1221.99,1.0,0.0,1000.0,0.0,1000.0
1668603508.0,1222.36,1221.24,1222.36,1222.36,1.0,0.0,1000.0,0.0,1000.0
1668603568.0,1222.28,1221.35,1222.28,1222.28,1.0,0.0,1000.0,0.0,1000.0
1668603628.0,1222.22,1221.68,1222.22,1222.22,1.0,0.0,1000.0,0.0,1000.0
1668603689.0,1220.43,1221.97,1220.43,1220.43,1.0,0.0,1000.0,0.0,1000.0
1668603748.0,1216.92,1221.86,1216.92,1216.92,1.0,0.0,1000.0,0.0,1000.0
1668603808.0,1214.46,1220.84,1214.46,1214.46,1.0,0.0,1000.0,0.0,1000.0
1668603870.0,1216.2,1219.26,1216.2,1216.2,1.0,0.0,1000.0,0.0,1000.0
1668603930.0,1212.91,1218.05,1212.91,1212.91,1.0,0.0,1000.0,0.0,1000.0
1668603990.0,1213.61,1216.18,1213.61,1213.61,1.0,0.0,1000.0,0.0,1000.0
1668604051.0,1211.33,1214.82,1211.33,1211.33,1.0,0.0,1000.0,0.0,1000.0
1668604111.0,1212.5,1213.7,1212.5,1212.5,1.0,0.0,1000.0,0.0,1000.0
1668604171.0,1213.83,1213.31,1213.83,1213.83,1.0,0.0,1000.0,0.0,1000.0
1668604232.0,1216.99,1212.84,1216.99,1216.99,1.0,0.0,1000.0,0.0,1000.0
1668604291.0,1217.88,1213.65,1217.88,1217.88,1.0,0.0,1000.0,0.0,1000.0
