Time,Price 1m,Change 1m,Change 5m,Change 30m,Change 4h,Rate 1m,Rate 5m,Rate 30m,Rate 4h,Difference 5m,Difference 30m,Difference 4h
1668611912.0,1210.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668611954.0,1210.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612014.0,1207.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612074.0,1208.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612134.0,1207.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612195.0,1205.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612255.0,1206.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612314.0,1207.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612374.0,1207.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612434.0,1206.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612494.0,1206.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612557.0,1206.01,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612615.0,1208.18,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612675.0,1208.12,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612734.0,1207.46,-0.66,0.15,0.12,-0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612795.0,1208.35,0.89,0.28,0.09,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612855.0,1208.63,0.28,0.43,0.02,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612915.0,1208.92,0.29,0.53,0.04,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668612974.0,1208.33,-0.59,0.15,0.04,-0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668613034.0,1208.5,0.17,0.04,0.11,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1668613155.0,1209.45,0.95,0.21,0.17,0.95,0.0079,0.0,0.0,0.0,0.0,0.0,0.0
1668613215.0,1209.08,-0.37,0.22,0.13,-0.37,-0.0062,0.0,0.0,0.0,0.0,0.0,0.0
1668613274.0,1208.57,-0.51,0.09,0.04,-0.51,-0.0086,0.0,0.0,0.0,0.0,0.0,0.0
1668613334.0,1207.13,-1.44,-0.07,-0.04,-1.44,-0.024,-0.0,-0.0,-0.02,0.0,0.0,0.0
1668613395.0,1206.65,-0.48,-0.24,-0.03,-0.48,-0.0079,-0.0,-0.0,-0.01,0.0,0.0,0.0
1668613455.0,1205.61,-1.04,-0.37,-0.06,-1.04,-0.0173,-0.01,-0.0,-0.02,0.0,0.0,0.0
1668613515.0,1204.0,-1.61,-0.77,-0.07,-1.61,-0.0268,-0.01,-0.0,-0.03,0.0,0.0,0.0
1668613575.0,1205.21,1.21,-1.02,-0.16,1.21,0.0202,-0.02,-0.0,0.02,0.0,0.0,0.0
1668613637.0,1201.25,-3.96,-0.67,-0.16,-3.96,-0.0639,-0.01,-0.0,-0.06,-4.47,-6.56,0.0
1668613695.0,1194.36,-6.89,-1.18,-0.36,-6.89,-0.1188,-0.02,-0.01,-0.12,-10.18,-13.09,0.0
1668613755.0,1189.22,-5.14,-2.45,-0.57,-5.14,-0.0857,-0.04,-0.01,-0.09,-12.87,-17.66,0.0
1668613815.0,1191.7,2.48,-3.28,-0.71,2.48,0.0413,-0.05,-0.01,0.04,-7.11,-14.47,0.0
1668613875.0,1193.66,1.96,-2.46,-0.62,1.96,0.0327,-0.04,-0.01,0.03,-2.69,-11.89,0.0
1668613935.0,1193.97,0.31,-2.31,-0.46,0.31,0.0052,-0.04,-0.01,0.01,-0.07,-11.12,0.0
1668613995.0,1192.21,-1.76,-1.46,-0.47,-1.76,-0.0293,-0.02,-0.01,-0.03,-0.37,-12.41,0.0
1668614055.0,1193.49,1.28,-0.43,-0.5,1.28,0.0213,-0.01,-0.01,0.02,1.34,-10.63,0.0
1668614115.0,1193.69,0.2,0.86,-0.41,0.2,0.0033,0.01,-0.01,0.0,0.68,-10.02,0.0
1668614175.0,1191.2,-2.49,0.39,-0.41,-2.49,-0.0415,0.01,-0.01,-0.04,-2.2,-12.1,0.0
1668614235.0,1193.31,2.11,-0.49,-0.55,2.11,0.0352,-0.01,-0.01,0.04,0.4,-9.44,0.0
1668614295.0,1194.72,1.41,-0.13,-0.47,1.41,1.41,-0.13,-0.47,1.41,1.94,-7.56,0.0
1668614355.0,1192.4,-2.32,0.5,-0.37,-2.32,-2.32,0.5,-0.37,-2.32,-0.88,-9.51,0.0
1668614415.0,1192.28,-0.12,-0.22,-0.46,-0.12,-0.12,-0.22,-0.46,-0.12,-0.78,-9.17,0.0
1668614475.0,1190.67,-1.61,-0.28,-0.46,-1.61,-1.61,-0.28,-0.46,-1.61,-2.11,-10.32,0.0
1668614535.0,1189.37,-1.3,-0.1,-0.59,-1.3,-1.3,-0.1,-0.59,-1.3,-3.31,-11.03,0.0
1668614595.0,1188.7,-0.67,-0.79,-0.62,-0.67,-0.67,-0.79,-0.62,-0.67,-3.19,-11.08,0.0
