Time,Price,Difference 30m,Cash Allocation,Coin Allocation,Cash Balance,Coin Balance,Value
1668626965.0,1205.7,0.08,1.0,0.0,1000.0,0.0,1000.0
1668627025.0,1205.99,0.52,0.0,1.0,0.0,0.8291942719259695,1000.0
1668627085.0,1203.51,-1.79,1.0,0.0,997.9435982056236,0.0,997.9435982056236
1668627144.0,1203.5,-1.55,1.0,0.0,997.9435982056236,0.0,997.9435982056236
1668627205.0,1202.0,-2.81,1.0,0.0,997.9435982056236,0.0,997.9435982056236
1668627265.0,1203.45,-1.09,1.0,0.0,997.9435982056236,0.0,997.9435982056236
1668627324.0,1203.55,-0.77,1.0,0.0,997.9435982056236,0.0,997.9435982056236
1668627385.0,1203.33,-0.79,1.0,0.0,997.9435982056236,0.0,997.9435982056236
1668627444.0,1203.7,-0.19,1.0,0.0,997.9435982056236,0.0,997.9435982056236
1668627505.0,1205.16,1.33,0.0,1.0,0.0,0.8280590114222374,997.9435982056236
1668627565.0,1208.26,4.42,0.0,1.0,0.0,0.8280590114222374,1000.5105811410324
1668627625.0,1206.47,2.51,0.0,1.0,0.0,0.8280590114222374,999.0283555105868
1668627684.0,1207.74,3.78,0.0,1.0,0.0,0.8280590114222374,1000.0799904550928
1668627744.0,1207.46,3.42,0.0,1.0,0.0,0.8280590114222374,999.8481339318948
1668627805.0,1208.9,4.74,0.0,1.0,0.0,0.8280590114222374,1001.0405389083428
1668627865.0,1207.69,3.3,0.0,1.0,0.0,0.8280590114222374,1000.0385875045218
1668627925.0,1206.28,1.65,0.0,1.0,0.0,0.8280590114222374,998.8710242984164
1668627985.0,1206.9,2.1,0.0,1.0,0.0,0.8280590114222374,999.3844208854983
1668628045.0,1206.33,1.32,0.0,1.0,0.0,0.8280590114222374,998.9124272489876
1668628104.0,1207.32,2.15,0.0,1.0,0.0,0.8280590114222374,999.7322056702956
1668628165.0,1206.55,1.21,0.0,1.0,0.0,0.8280590114222374,999.0946002315004
1668628224.0,1206.85,1.37,0.0,1.0,0.0,0.8280590114222374,999.343017934927
1668628284.0,1207.95,2.35,0.0,1.0,0.0,0.8280590114222374,1000.2538828474916
1668628345.0,1209.02,3.26,0.0,1.0,0.0,0.8280590114222374,1001.1399059897134
1668628404.0,1209.14,3.24,0.0,1.0,0.0,0.8280590114222374,1001.2392730710842
1668628465.0,1208.6,2.57,0.0,1.0,0.0,0.8280590114222374,1000.792121204916
1668628525.0,1207.53,1.38,0.0,1.0,0.0,0.8280590114222374,999.9060980626942
1668628585.0,1208.55,2.34,0.0,1.0,0.0,0.8280590114222374,1000.750718254345
1668628645.0,1209.14,2.81,0.0,1.0,0.0,0.8280590114222374,1001.2392730710842
1668628705.0,1208.85,2.42,0.0,1.0,0.0,0.8280590114222374,1000.9991359577716
1668628765.0,1209.26,2.75,0.0,1.0,0.0,0.8280590114222374,1001.3386401524548
1668628825.0,1208.7,2.07,0.0,1.0,0.0,0.8280590114222374,1000.8749271060584
1668628885.0,1207.36,0.64,0.0,1.0,0.0,0.8280590114222374,999.7653280307524
1668628945.0,1208.67,1.82,0.0,1.0,0.0,0.8280590114222374,1000.8500853357156
